HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
LITTLE HUMBOLDT,NV0102,52538,11406,15734,1418,80,,60,,0,,0,,,August 2004,2004
LITTLE MOUNTAIN,NV0519,53035,222,53035,222,15,,50,,0,,0,,,September 2002,2004
LITTLE OWYHEE,NV0200,454384,5745,454384,5745,298,,269,,0,,0,,,September 2004,2004
MARIETTA,NV0316,64476,1580,64476,1580,0,,0,,104,,92,,,August 1999,2001
MAVERICK-MEDICINE,NV0105,318575,4905,318575,4905,276,,875,,0,,0,,,September 2001,2001
MCGEE MOUNTIAN,NV0210,41071,41,41071,41,0,,0,,41,,29,,,March 2006,2006
MEADOW VALLEY MOUNTAINS,NV0513,94519,2930,94519,2930,0,,5,,0,,0,,,February 2006,
MILLER FLAT,NV0520,91751,237,91751,237,15,,40,,0,,0,,,September 2002,2002
MONTE CRISTO,NV0402,372653,5610,372653,5610,236,,120,,0,,0,,,January 2006,2006
MONTEZUMA PEAK,NV0625,76557,1373,76557,1373,146,,21,,10,,22,,,November 1996,2001
MORIAH,NV0413,43375,0,43375,0,29,,25,,0,,0,,,August 2004,2004
MUDDY MOUNTAINS,NV0503,82709,104601,75856,2725,0,,5,,0,,6,,,January 2001,
NEVADA WILD HORSE RANGE,NV0524,10,1301628,10,1301628,500,,928,,0,,0,,,January 2004,2004
NEW PASS-RAVENSWOOD,NV0602,259099,1258,259099,1258,476,,486,,0,,0,,,November 1999,1999
NIGHTENGALE MOUNTAINS,NV0219,72754,3690,72754,3690,63,,40,,0,,3,,,November 2005,2006
NORTH STILLWATER,NV0229,176854,2081,176854,2081,205,,229,,0,,1,,,February 2003,
OWYHEE,NV0101,336260,2026,336260,2026,231,,355,,0,,0,,,December 2002,2003
PALMETTO,NV0624,117577,702,117577,702,76,,0,,0,,0,,,,
PAYMASTER,NV0621,99919,672,99919,672,43,,173,,0,,0,,,October 1992,2004
PILOT MOUNTAIN,NV0314,475449,1687,475449,1687,415,,348,,0,,0,,,January 2005,2002
PINE NUT MOUNTAINS,NV0305,182668,69225,94694,9624,179,,132,,0,,0,,,July 2003,2003
RATTLESNAKE,NV0523,71433,0,71433,0,1,,1,,0,,0,,,,
RED ROCK,NV0504,157251,4721,157251,4721,27,,12,,49,,130,,,February 2006,2002
REVEILLE,NV0619,387558,997,104515,979,138,,116,,0,,0,,,November 2001,2002
ROBERTS MOUNTAIN,NV0607,221927,3981,99322,670,150,,317,,0,,0,,,July 2001,2001
ROCK CREEK,NV0103,145143,38357,98526,22902,250,,190,,0,,0,,,August 2004,2004
ROCKY HILLS,NV0605,81477,2531,81477,2531,143,,109,,0,,0,,,November 1999,2001
SAND SPRINGS EAST,NV0405,481220,505,481220,505,257,,120,,0,,0,,,February 2006,2006
SAND SPRINGS WEST,NV0630,173349,16,157438,0,49,,48,,0,,0,,,January 2006,2006
SAULSBURY,NV0620,143397,870,135261,36,40,,91,,0,,0,,,February 1997,2004
SEAMAN,NV0411,359351,1884,359351,1884,159,,120,,0,,0,,,September 1996,2001
SEVEN MILE,NV0613,104001,880,96771,880,100,,33,,0,,0,,,February 2006,2006
SEVEN TROUGHS,NV0216,131409,17474,131388,17474,156,,94,,46,,42,,,November 2005,2006
SHAWAVE MOUNTAINS,NV0218,87790,19288,87790,19288,73,,45,,0,,0,,,November 2006,2006
SILVER PEAK,NV0623,239701,2473,239701,2473,0,,61,,6,,15,,,July 2003,
SNOWSTORM MOUNTAINS,NV0201,103469,13368,103469,13368,140,,100,,0,,0,,,September 2004,2004
SOUTH SHOSHONE,NV0601,142761,8163,128238,4860,100,,267,,0,,0,,,,
SOUTH STILLWATER,NV0309,9773,0,9773,0,16,,15,,0,,0,,,,2005
SPRUCE-PEQUOP,NV0109,309466,19421,231325,9420,82,,60,,0,,0,,,January 2005,2005
STONE CABIN,NV0618,405855,4227,403316,4227,364,,330,,0,,0,,,November 1998,2001
STONEWALL,NV0627,23782,106,23782,106,50,,0,,25,,0,,,June 1986,2001
TOBIN RANGE,NV0231,187163,11099,187163,11099,42,,128,,0,,0,,,,
WARM SPRINGS CANYON,NV0226,90866,841,90866,841,175,,121,,24,,19,,,November 2004,2005
WASSUK,NV0312,51616,128,51616,128,165,,81,,0,,0,,,September 2003,2003
WHEELER PASS,NV0507,273260,3644,273260,3644,66,,25,,35,,60,,,July 2002,
WHISTLER MOUNTAIN,NV0608,42664,582,42664,582,24,,24,,0,,0,,,,2004
WHITE RIVER,NV0409,118633,0,114590,0,90,,70,,0,,0,,,February 2005,2005
WILSON CREEK,NV0404,670786,15704,670786,15704,160,,625,,0,,0,,,February 2002,2002
HICKSON*,NV0610,63334,0,63334,0,0,,1,,45,,31,,,,
MONTGOMERY PASS*,NV0317,76331,2872,47424,1639,,,68,,0,,0,,,,
NORTH MONITOR*,NV0611,11277,235,11277,235,8,,7,,0,,0,,,January 2006,2006
ANTELOPE RANGE,NV0211,82068,49515,,,,,3,,,,0,,,October 1999,
AUSTIN (in NV0604),NV0687,0,0,,,,,0,,,,0,,,,
BLOODY RUNS,NV0204,44876,29203,,,,,0,,,,0,,,October 1996,
BLUE DIAMOND (in NV0525),NV0505,,0,,,,,0,,,,0,,,,
BULTER BASIN*,NV0686,10342,3,,,,,0,,,,0,,,,
CAVE VALLEY (in NV0410),NV0493,0,0,,,,,0,,,,0,,,,
DOBBIN SUMMIT*,NV0615,19189,118,,,,,0,,,,0,,,,
DUNLAP (in NV0314),NV0690,4296,0,,,,,0,,,,0,,,,
EAST RANGE,NV0225,321615,130286,,,,,20,,,,0,,,November 2001,
EUGENE MOUNTAINS,NV0207,49197,36896,,,,,0,,,,0,,,June 1993,
FORTIFICATION (in NV0404),NV0496,0,0,,,,,0,,,,0,,,,
GABBS VALLEY RANGE (in NV314),NV0315,0,0,,,,,0,,,,0,,,November 1987,
GOLDEN GATE (in NV0411),NV0494,0,0,,,,,0,,,,0,,,,
GOSHUTE (in NV0401),NV0495,0,0,,,,,0,,,,0,,,,
GRASS VALLEY (in NV0604),NV0689,0,0,,,,,0,,,,0,,,,
HORSE SPRING,NV0307,15280,10415,,,,,0,,,,0,,,July 2000,
HOT SPRINGS MOUNTAINS,NV0203,47870,20309,,,,,0,,,,0,,,,
HUMBOLDT,NV0224,217069,214481,,,,,40,,,,0,,,July 1993,
IONE,NV0691,168434,540,,,,,0,,,,0,,,,
KOBEH VALLEY (in NV0608 & NV0612),NV0698,29065,1917,,,,,0,,,,0,,,,
KRUM HILLS,NV0206,34793,29399,,,,,0,,,,0,,,December 1985,
LAST CHANCE (in NV0510),NV0527,6352,22591,,,,,0,,,,0,,,,
LOWER PARADISE VALLEY,NV0233,17327,27568,,,,,0,,,,0,,,,
LUCKY STRIKE (in NV0525),NV0526,,0,,,,,0,,,,0,,,,
MAVRICK-BUTTE (in NV0403),NV0491,0,0,,,,,0,,,,0,,,,
MONITOR (All claimed - not mapped),NV0617,0,0,,,,,0,,,,0,,,,
MORMON MOUNTAINS,NV0512,136558,430,,,,,0,,,,0,,,January 1998,
