HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
WINTER RIDGE,UT0853,38916,46424,,,,,98,,,,0,,,July 2003,
BIG CREEK*,UT0244,5331,5743,,,,,25,,,,0,,,,
OUTSIDE HERD AREAS,UT000Z,,,,,,,110,,,,0,,,December 2004,
"ADOBE TOWN (From HAs WY0044,0",WY0009,444321,479078,444321,479078,800,,1050,,0,,0,,,August 2003,2003
ANTELOPE HILLS,WY0031,156233,165485,150896,158692,82,,60,,0,,0,,,October 2004,2004
CONANT CREEK,WY0029,50518,58831,49528,57718,100,,60,,0,,0,,,October 2004,2004
CROOKS MOUNTAIN,WY0036,75821,83866,54726,58424,85,,84,,0,,0,,,October 2004,2004
DISHPAN BUTTE,WY0028,101425,110335,92275,99741,100,,50,,0,,0,,,October 2004,2004
"DIVIDE BASIN From HA WY0043,00",WY0002,561453,778960,561453,778960,600,,588,,0,,0,,,October 2003,2003
FIFTEENMILE,WY0011,218077,262175,68673,81209,160,,80,,0,,0,,,October 2004,2004
GREEN MOUNTAIN,WY0037,115959,142909,99311,116674,300,,419,,0,,0,,,October 2003,2003
LITTLE COLORADO,WY0039,530698,635718,527307,632327,100,,84,,0,,0,,,November 2003,2003
"LOST CREEK (From HAs WY0010,0",WY0035,236353,251394,236353,251394,82,,174,,0,,0,,,October 2001,2001
MCCULLOUGH PEAKS,WY0012,118665,149296,103920,109848,140,,100,,0,,0,,,October 2004,2004
MUSKRAT BASIN,WY0027,180939,201524,176340,193262,250,,159,,0,,0,,,October 2004,2004
ROCK CREEK MOUNTIAN,WY0026,19125,24608,19100,24583,86,,42,,0,,0,,,October 2004,2004
SALT WELLS CREEK (From HAs WY,WY0001,918317,1434819,688632,1172625,365,,480,,0,,0,,,August 2003,2003
STEWART CREEK,WY0008,184745,214075,157514,167843,175,,165,,0,,0,,,October 2003,2003
WHITE MOUNTAIN (From HAs WY0,WY0003,207981,393073,207981,393073,300,,246,,0,,0,,,November 2003,2003
ALKALI SPRING CREEK,WY0020,2522,5181,,,,,0,,,,0,,,,
ARAPAHO CREEK,WY0034,168558,185718,,,,,0,,,,0,,,,
BOLTEN,WY0025,61714,145395,,,,,0,,,,0,,,,
CARTER LEASE,WY0017,123254,296553,,,,,0,,,,0,,,,
CHECKERBOARD SOUTH,WY0040,324123,681595,,,,,0,,,,0,,,,
CONTINENTAL PEAK (in HMA WY00,WY0043,366152,394078,,,,,,,,,,,,,
CUMBERLAND,WY0015,241462,422457,,,,,0,,,,0,,,April 1990,
CYCLONE RIM,WY0010,0,0,,,,,,,,,,,,,
DEER CREEK,WY0024,6477,61244,,,,,0,,,,0,,,,
DESERT,WY0004,152386,160502,,,,,0,,,,0,,,November 2001,
DOTY MOUNTAIN/CHEROKEE,WY0032,243326,449235,,,,,0,,,,0,,,,
EAST BEAVER,WY0030,31390,37634,,,,,0,,,,0,,,,
SAND CREEK EAST (In HMA WY000,WY0042,168848,181939,,,,,0,,,,0,,,,
FOSTER GULCH/DRY CREEK,WY0023,110938,117514,,,,,0,,,,0,,,,
GOLD CREEK,WY0014,29737,39639,,,,,0,,,,0,,,,
GRANGER LEASE,WY0005,171443,370458,,,,,0,,,,0,,,April 1986,
LABARGE,WY0006,133030,154263,,,,,0,,,,0,,,July 1988,
NORTH GRANGER,WY0018,132366,229253,,,,,0,,,,0,,,,
NORTH SHOSHONE,WY0019,20342,24794,,,,,0,,,,0,,,,
"ROCK SPRINGS (in HMAs WY0009,",WY0038,156084,364604,,,,,0,,,,0,,,,
SAND CREEK WEST (in HMA WY00,WY0044,18649,21987,,,,,,,,,,,,,
SAND DRAW,WY0021,13758,15319,,,,,0,,,,0,,,,
SLATE CREEK,WY0016,173979,206452,,,,,0,,,,0,,,,
TRIANGLE,WY0013,295057,334553,,,,,0,,,,0,,,,
ZIMMERMAN SPRINGS,WY0022,11524,12284,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,WY000Z,,,,,,,150,,,,0,,,February 2005,
LANDER-Included in 7 HMAs,WY007,,,,,,,,,,,,,,November 1992,
SEVEN LAKES/CHAIN LAKES-Part o,WY008,,,,,,,,,,,,,,March 1989,
